Seq,DateListed,年度,類別,項目別,總計,農林漁牧業,工業_礦業及土石採取業,工業_製造業,工業_電力及燃氣供應業,工業_用水供應及污染整治業,工業_營建工程業,服務業_批發及零售業,服務業_運輸及倉儲業,服務業_住宿及餐飲業,服務業_出版影音製作傳播及通資訊服務業,服務業_金融及保險業,服務業_不動產業,服務業_專業_科學及技術服務業,服務業_支援服務業,服務業_公共行政及國防_強制性社會安全,服務業_教育業,服務業_醫療保健及社會工作服務業,服務業_藝術_娛樂及休閒服務業,服務業_其他服務業,樣本數_人,母體數_人
97,20230401,108,年齡,15 ~ 24歲,100,3.58354021645654,0.0640932028752698,10.323062194746,0.408087101851401,0.298560742507586,10.0975190251343,18.1189050609291,5.51526067273524,22.686559898749,0.819419429164841,1.25590225380908,0.134676856674617,0.839702088302585,2.27409174252381,2.03556767106395,4.46056239757257,7.22143795940223,2.95640039591751,6.90665108958445,3351.84674071953,30814.5
98,20230401,108,年齡,15 ~ 19歲,100,4.26068077847561,0,9.03698534542917,0.217104753043343,0.151197953012328,11.0645886640304,18.8493448088703,5.90059703807087,33.5620686981469,0,0.189966658912926,0,0.631929906179732,1.55462510661394,0.12793672947197,1.73296115375669,1.13204621229743,3.48142978987361,8.10653640381484,701.534629286628,6448.5
99,20230401,108,年齡,20 ~ 24歲,100,3.40433390790446,0.0810555692358204,10.6634244438972,0.458630879093819,0.337560535171961,9.84158253303784,17.9255930394812,5.41328080111631,19.8083394894525,1.03628006238201,1.5380037757531,0.170319297381597,0.894689321185258,2.46449971271444,2.54042518263154,5.18242633177378,8.83300500697693,2.81745054584257,6.58909956496758,2650.31211143291,24366
100,20230401,108,年齡,25 ~ 34歲,100,4.11463858160327,0.326943476284285,16.7411729049856,0.36255493256554,0.936126685861494,10.9872707986058,12.9201394150629,6.46954083952114,10.5235641763904,1.59721169874223,1.70934990150023,0.261403242915593,1.98287619336263,3.02735262918624,4.02295802394302,5.34399151386574,9.30784967419306,3.0534929534778,6.31156235793302,7181.29927955121,65990
101,20230401,108,年齡,25 ~ 29歲,100,3.20075361105296,0.221198799804619,15.5327611471635,0.341218337868955,0.942013816202638,11.2148489288954,13.6919963715023,5.8935175493685,11.6028190635685,1.72981648175284,1.82960016746912,0.36773428232503,2.2503663387063,2.73253785499965,3.96064475612309,5.89002860930849,9.3203544763101,2.88674900565208,6.39104040192589,3897.52249076213,35827.5
102,20230401,108,年齡,30 ~ 34歲,100,5.20016576875259,0.452548694571073,18.1765437215085,0.38789888106092,0.929133858267717,10.7169498549523,12.0033153750518,7.15375051802735,9.24160795690012,1.43970161624534,1.56651471197679,0.135101533360961,1.66514711976792,3.37753833402404,4.09697472026523,4.69539991711562,9.29299627020307,3.25155408205553,6.21715706589308,3283.77678878912,30162.5
103,20230401,108,年齡,35 ~ 44歲,100,7.03752345902125,0.377905168850078,19.8072793388672,0.448145045344962,1.53174147335458,14.7829331733425,8.21696805183118,6.33475886138234,8.62779816278823,1.01079572268419,0.861535985132559,0.304006965454419,1.75819190851256,3.09677372150621,4.50596124368481,4.31133825256357,8.99911834321691,1.65210042839008,6.33512469407241,7439.00403212943,68337.25
104,20230401,108,年齡,35 ~ 39歲,100,5.43180984165011,0.43343696123301,20.7648154430958,0.47498043994544,1.88884349879178,13.5120164512176,8.86676313985612,6.13735658844953,8.22283921981347,1.0711293594688,1.03235544600386,0.444515222222992,1.85145436795059,3.10260546850658,4.53724026670913,4.28590222049894,9.46083488544386,1.62504240896785,6.85605877017455,3929.64831367694,36106.75
105,20230401,108,年齡,40 ~ 44歲,100,8.83635066164037,0.315694761173423,18.7345837017732,0.418082251283722,1.13169203084035,16.2066986239742,7.4890243713253,6.55590201827462,9.081460107662,0.943205969500939,0.670172662540141,0.146600269930656,1.65371309784211,3.09024061060176,4.47092040148307,4.33983338762973,8.48187276027365,1.68241262158514,5.75153969066567,3509.35571845226,32230.5
106,20230401,108,年齡,45 ~ 54歲,100,10.7712996896277,0.645235985376432,14.2072147090649,0.380729308141373,1.08073687819779,18.150768806024,6.62958823346054,6.77609109004359,8.61160712297779,0.581113154531569,0.986333821676189,0.223539313084175,0.66839145207041,3.31034114236604,6.89765729018698,4.92320845708891,6.79256709519123,1.53761204796744,6.82596440292293,6111.76253451712,56142.25
