Seq,DateListed,年度,類別,項目別,總計,未滿1年,年資1年_未滿3年,年資3年_未滿5年,年資5年_未滿7年,年資7年_未滿9年,年資9年_未滿12年,年資12年_未滿15年,年資15年及以上,平均年資_年,樣本數_人,母體數_人
11,"20230401","103","年齡","50 ~ 54歲","100","14.2186336646557","10.6534547657095","6.73355662788233","8.85705214660909","3.74520800555667","11.3454020067731","6.07119505527626","38.3754977275373","11.9291364483428","3119.83512657264","24324.2289471465"
12,"20230401","103","年齡","55 ~ 59歲","99.9999999999998","14.3790818647965","8.97168094602388","6.13917474917797","6.97301663309669","4.07424595585818","9.78849037154756","4.78098485273255","44.8933246267665","14.4851947741914","2166.27836377887","16888.0801259089"
13,"20230401","103","年齡","60 ~ 64歲","100","11.2244018648748","9.00737553623183","6.74928928031348","6.32371590891918","2.90995333867383","8.78783622452628","2.60122655696052","52.3962012895001","17.3501923673685","985.065594742591","7679.13091500312"
14,"20230401","103","年齡","65歲及以上","99.9999999999999","12.6222348590461","5.59889203433833","5.76394074960253","4.82781453248514","3.13192444854595","6.88755461388162","1.22125772861481","59.9463810334854","25.053681886071","388.086245491996","3024.59032052134"
15,"20230401","103","教育程度","小學及以下","99.9999999999999","15.815543585912","10.9425765057634","6.97143403149067","7.33639674048014","3.64417328318069","11.0774416629094","4.05186728023526","40.1605669100284","13.7300049755225","4107.71811374429","32023.8560358909"
16,"20230401","103","教育程度","國(初)中","100","19.8982914791016","16.3901218828377","10.6151261170897","11.1812862081779","4.94985512262838","11.2978418024894","3.94569426029028","21.7217831273855","8.05085958407066","7272.19785518235","56698.5471166591"
17,"20230401","103","教育程度","高級中等(高中、高職)","99.9999999999995","18.5460017415762","22.0692767079013","14.1449831480023","11.837087320625","6.06950502990881","9.66277240646483","3.86672295011183","13.8036506954092","6.32396956425435","12593.1623219555","98178.7722171691"
18,"20230401","103","教育程度","專科","100","11.9400158356344","18.8956212944122","13.6247117915894","11.7639367928482","7.96368190762376","11.297236480631","4.23499394529649","20.2798019519648","8.18104081900252","2173.9375209442","16947.5022611449"
19,"20230401","103","教育程度","大學及以上","100","19.2948991919308","30.1505592884184","16.9111791279006","11.089742961022","5.55162375998223","5.68029148571557","2.41514373944295","8.90656044558755","4.97346709364317","4078.57064476732","31794.4268633025"
20,"20230401","103","婚姻狀況","未婚","99.9999999999991","25.0730685064431","31.2413337970682","16.2415446605369","10.8181724498654","4.52227307285201","5.65355215450776","1.8582271885432","4.59182817018261","3.78655916235538","10790.809738809","84125.0629637021"
21,"20230401","103","婚姻狀況","有配偶","100","13.1756368354507","13.1672177657979","10.7828845585238","11.2669119105584","6.23870293842542","12.4182429213816","4.89899644671558","28.0514066231468","10.1229546029696","16339.0522564285","127385.055797693"
22,"20230401","103","婚姻狀況","離婚或分居","100","20.9723900977502","19.8459790804392","10.4899389335147","10.6522391119272","5.13679899003855","10.6150818361856","4.1440940815245","18.1434778686202","7.21391758685893","2266.75595114473","17671.2027300708"
23,"20230401","103","婚姻狀況","喪偶","100","17.4976840809347","10.6966077198703","8.84716069127244","7.6543803499296","6.00366706333323","10.9828874368612","4.34072096945935","33.9768916883393","12.1142709362214","828.96851021141","6461.78300270015"
24,"20230401","103","個人每月收入","未滿1萬元","100","23.5858108687546","21.2172040668729","7.45128879536581","6.87425707597458","2.81174442790521","7.33340393365677","2.70929299666086","28.0169978348093","10.133580468399","1515.00186585482","11815.1919202012"
